p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.365409,1.42402,-0.988169,-0.203866,-0.117153,-0.0354614,0.6899,0.000332539,-0.0116055,0.723812,-0.00260556,0.000684203,0.07944
-0.365409,1.42402,-0.988169,-0.203866,-0.117153,-0.0354614,0.689756,0.000324218,-0.0116094,0.723948,-0.00287924,0.000686962,0.0793448
-0.367264,1.42277,-0.988398,-0.201634,-0.118275,-0.0338998,0.689613,0.000314464,-0.0116151,0.724085,-0.00426089,0.000518185,0.0792637
-0.367264,1.42277,-0.988398,-0.201634,-0.118275,-0.0338998,0.689469,0.000304141,-0.0116216,0.724222,-0.00394247,0.00057878,0.079269
-0.369096,1.4215,-0.98861,-0.199447,-0.119435,-0.032318,0.689326,0.000293141,-0.011629,0.724358,-0.00490831,0.000446175,0.0792736
-0.369096,1.4215,-0.98861,-0.199447,-0.119435,-0.032318,0.689182,0.000282189,-0.0116364,0.724495,-0.00424749,0.000503136,0.0793602
-0.370905,1.42022,-0.988804,-0.197002,-0.120427,-0.0306826,0.689037,0.000272897,-0.0116411,0.724633,-0.00259471,0.000905449,0.0806986
-0.370905,1.42022,-0.988804,-0.197002,-0.120427,-0.0306826,0.688891,0.000264083,-0.0116443,0.724771,-0.00278712,0.00104928,0.080666
-0.372691,1.41893,-0.988982,-0.194731,-0.121532,-0.0290638,0.688745,0.000253722,-0.0116492,0.72491,-0.00415685,0.000955892,0.0806382
-0.372691,1.41893,-0.988982,-0.194731,-0.121532,-0.0290638,0.688599,0.000242623,-0.0116545,0.725049,-0.00380627,0.0011592,0.0806994
-0.374455,1.41763,-0.989144,-0.192407,-0.122607,-0.0274539,0.688452,0.000230674,-0.0116606,0.725188,-0.00478374,0.00109873,0.0807517
-0.374455,1.41763,-0.989144,-0.192407,-0.122607,-0.0274539,0.688306,0.000218388,-0.0116665,0.725327,-0.0041871,0.00139252,0.0808869
-0.376197,1.41631,-0.989292,-0.190112,-0.123693,-0.0258583,0.688157,0.00020882,-0.0116732,0.725467,-0.00372794,-0.000510663,0.0822954
-0.376197,1.41631,-0.989292,-0.190112,-0.123693,-0.0258583,0.688008,0.000200112,-0.0116796,0.725609,-0.00347816,0.000478585,0.0823007
-0.377916,1.41499,-0.989427,-0.187831,-0.124774,-0.0243058,0.687859,0.000189261,-0.0116858,0.72575,-0.00452499,0.000953449,0.0823053
-0.377916,1.41499,-0.989427,-0.187831,-0.124774,-0.0243058,0.687709,0.000177247,-0.0116911,0.725892,-0.00393317,0.00160225,0.0823989
-0.379613,1.41366,-0.989549,-0.185437,-0.125779,-0.0227676,0.687558,0.000165938,-0.0116929,0.726035,-0.00231269,0.00240613,0.0837915
-0.379613,1.41366,-0.989549,-0.185437,-0.125779,-0.0227676,0.687406,0.000154501,-0.0116929,0.726179,-0.00255403,0.00277072,0.0837601
-0.381287,1.41231,-0.98966,-0.18318,-0.126867,-0.0213057,0.687254,0.000141176,-0.0116943,0.726323,-0.00396823,0.00277084,0.0837333
-0.381287,1.41231,-0.98966,-0.18318,-0.126867,-0.0213057,0.687102,0.000126909,-0.0116961,0.726466,-0.0036178,0.00307355,0.0837985
-0.382939,1.41096,-0.98976,-0.180973,-0.128,-0.0198902,0.686949,0.000113887,-0.0116953,0.726612,-0.00200852,0.00344729,0.0851863
-0.382939,1.41096,-0.98976,-0.180973,-0.128,-0.0198902,0.686794,0.000101326,-0.0116933,0.726758,-0.00230805,0.00349432,0.0851306
-0.384569,1.40959,-0.989851,-0.17885,-0.129191,-0.0185504,0.68664,8.7278e-05,-0.0116934,0.726904,-0.00376646,0.00326305,0.0850832
-0.384569,1.40959,-0.989851,-0.17885,-0.129191,-0.0185504,0.686485,7.27831e-05,-0.0116941,0.72705,-0.00336093,0.00328935,0.08513
-0.386177,1.40821,-0.989934,-0.176592,-0.130258,-0.0172672,0.68633,5.77989e-05,-0.011696,0.727196,-0.00435088,0.00304156,0.0851698
-0.386177,1.40821,-0.989934,-0.176592,-0.130258,-0.0172672,0.686175,4.27455e-05,-0.0116978,0.727342,-0.00373107,0.0032278,0.0852972
-0.387763,1.40682,-0.99001,-0.174231,-0.131257,-0.0160373,0.68602,2.72772e-05,-0.0117001,0.727488,-0.00456553,0.00308513,0.0854057
-0.387763,1.40682,-0.99001,-0.174231,-0.131257,-0.0160373,0.685865,1.16005e-05,-0.011702,0.727635,-0.00389935,0.00346862,0.0856006
-0.389327,1.40543,-0.990079,-0.172004,-0.132353,-0.0148967,0.685709,-4.70625e-06,-0.0117041,0.727782,-0.00470339,0.00344801,0.0857667
-0.389327,1.40543,-0.990079,-0.172004,-0.132353,-0.0148967,0.685553,-2.1092e-05,-0.0117055,0.727929,-0.00390278,0.00377569,0.086017
-0.390869,1.40402,-0.990143,-0.169775,-0.133464,-0.0138264,0.685394,-3.57343e-05,-0.0117035,0.728078,-0.0019648,0.00425881,0.0876119
-0.390869,1.40402,-0.990143,-0.169775,-0.133464,-0.0138264,0.685235,-4.95967e-05,-0.0116998,0.728228,-0.00204082,0.00435108,0.0877024
-0.39239,1.40259,-0.990204,-0.167529,-0.134536,-0.0128477,0.685075,-6.47125e-05,-0.0116977,0.728378,-0.00339468,0.0041146,0.0877796
-0.39239,1.40259,-0.990204,-0.167529,-0.134536,-0.0128477,0.684915,-8.04488e-05,-0.0116962,0.728529,-0.00301486,0.00434298,0.087946
-0.393889,1.40116,-0.990261,-0.165403,-0.135699,-0.0119577,0.684755,-9.69901e-05,-0.0116955,0.728679,-0.00404793,0.00419191,0.0880878
-0.393889,1.40116,-0.990261,-0.165403,-0.135699,-0.0119577,0.684595,-0.000113581,-0.0116947,0.72883,-0.00332855,0.00436007,0.0883124
-0.395366,1.39972,-0.990316,-0.163081,-0.136705,-0.011142,0.684434,-0.000130429,-0.0116944,0.728981,-0.0041436,0.00416397,0.088504
-0.395366,1.39972,-0.990316,-0.163081,-0.136705,-0.011142,0.684272,-0.000147373,-0.0116936,0.729133,-0.0034284,0.00453458,0.0887765
-0.396822,1.39826,-0.990371,-0.160864,-0.13779,-0.0104271,0.68411,-0.000164855,-0.0116931,0.729285,-0.00423395,0.00446712,0.0890088
-0.396822,1.39826,-0.990371,-0.160864,-0.13779,-0.0104271,0.683948,-0.000182382,-0.0116918,0.729437,-0.003403,0.00481923,0.0893199
-0.398256,1.3968,-0.990425,-0.158647,-0.138856,-0.00980564,0.683783,-0.000197091,-0.0116907,0.729592,-0.00273348,0.00312799,0.0910169
-0.398256,1.3968,-0.990425,-0.158647,-0.138856,-0.00980564,0.683617,-0.000210817,-0.0116891,0.729747,-0.00241767,0.00404964,0.0911471
-0.399669,1.39532,-0.99048,-0.156519,-0.139999,-0.00925787,0.683451,-0.000226461,-0.0116874,0.729903,-0.00351197,0.00435796,0.091258
-0.399669,1.39532,-0.99048,-0.156519,-0.139999,-0.00925787,0.683284,-0.00024302,-0.011685,0.730059,-0.00287273,0.00489686,0.0914541
-0.401062,1.39383,-0.990534,-0.154422,-0.14117,-0.00878328,0.683117,-0.000260454,-0.0116828,0.730215,-0.00373339,0.00492746,0.0916212
-0.401062,1.39383,-0.990534,-0.154422,-0.14117,-0.00878328,0.68295,-0.000277983,-0.0116798,0.730372,-0.00287592,0.0052514,0.091866
-0.402433,1.39234,-0.990589,-0.152072,-0.142101,-0.0083589,0.682782,-0.000295816,-0.011677,0.730529,-0.00364853,0.00512167,0.0920746
-0.402433,1.39234,-0.990589,-0.152072,-0.142101,-0.0083589,0.682613,-0.000313911,-0.0116736,0.730686,-0.00291963,0.00563726,0.0923604
-0.403783,1.39083,-0.990643,-0.149852,-0.143149,-0.00798782,0.682445,-0.000332743,-0.0116701,0.730844,-0.0037671,0.00562441,0.0926039
-0.403783,1.39083,-0.990643,-0.149852,-0.143149,-0.00798782,0.682275,-0.00035186,-0.0116661,0.731002,-0.00299723,0.00607335,0.092923
-0.405112,1.38931,-0.990698,-0.14773,-0.144259,-0.00766696,0.682104,-0.000369402,-0.0116583,0.731163,-0.00101523,0.00663479,0.0946777
-0.405112,1.38931,-0.990698,-0.14773,-0.144259,-0.00766696,0.681931,-0.000386223,-0.0116489,0.731324,-0.00113915,0.00670222,0.0948036
-0.406421,1.38777,-0.990752,-0.145703,-0.145479,-0.00738654,0.681757,-0.000404321,-0.0116414,0.731486,-0.00261673,0.0063646,0.0949109
-0.406421,1.38777,-0.990752,-0.145703,-0.145479,-0.00738654,0.681584,-0.000422721,-0.0116346,0.731648,-0.0021211,0.00640253,0.0951011
-0.407709,1.38623,-0.990806,-0.143567,-0.146567,-0.00713535,0.68141,-0.000441448,-0.011629,0.73181,-0.00311658,0.0060532,0.0952633
-0.407709,1.38623,-0.990806,-0.143567,-0.146567,-0.00713535,0.681235,-0.000460077,-0.0116233,0.731972,-0.00241222,0.00622713,0.0955019
-0.408977,1.38468,-0.990859,-0.141507,-0.147721,-0.00691146,0.68106,-0.000478987,-0.0116183,0.732135,-0.0033108,0.00596396,0.0957052
-0.408977,1.38468,-0.990859,-0.141507,-0.147721,-0.00691146,0.680885,-0.000497623,-0.0116129,0.732298,-0.00244155,0.00613245,0.095984
-0.410225,1.38311,-0.990912,-0.139321,-0.148734,-0.00669889,0.680709,-0.000516292,-0.0116079,0.732462,-0.00321215,0.00586752,0.0962214
-0.410225,1.38311,-0.990912,-0.139321,-0.148734,-0.00669889,0.680533,-0.000534845,-0.0116025,0.732625,-0.00241596,0.00619158,0.0965329
-0.411452,1.38154,-0.990963,-0.137236,-0.149835,-0.00650807,0.680354,-0.000551643,-0.0115935,0.732791,-0.000407418,0.006705,0.0983325
-0.411452,1.38154,-0.990963,-0.137236,-0.149835,-0.00650807,0.680174,-0.000567644,-0.0115829,0.732959,-0.000546771,0.00673214,0.0984436
-0.41266,1.37995,-0.991014,-0.135176,-0.150962,-0.00632416,0.679994,-0.000584885,-0.0115743,0.733126,-0.00205266,0.00635873,0.0985382
-0.41266,1.37995,-0.991014,-0.135176,-0.150962,-0.00632416,0.679813,-0.000602607,-0.0115665,0.733294,-0.00163161,0.00649689,0.098715
-0.413847,1.37835,-0.991063,-0.133258,-0.152224,-0.00616354,0.679632,-0.000620957,-0.0115599,0.733462,-0.00275172,0.00619635,0.0988656
-0.413847,1.37835,-0.991063,-0.133258,-0.152224,-0.00616354,0.679451,-0.000639078,-0.0115533,0.73363,-0.00194406,0.00623738,0.0990921
-0.415015,1.37674,-0.991111,-0.131123,-0.153242,-0.00598657,0.679269,-0.000657139,-0.0115474,0.733798,-0.00277822,0.00587782,0.0992851
-0.415015,1.37674,-0.991111,-0.131123,-0.153242,-0.00598657,0.679087,-0.000675012,-0.0115412,0.733967,-0.00199458,0.0061498,0.0995531
-0.416163,1.37513,-0.991158,-0.129001,-0.154244,-0.0058072,0.678904,-0.000693219,-0.0115354,0.734136,-0.00286889,0.00594085,0.0997814
-0.416163,1.37513,-0.991158,-0.129001,-0.154244,-0.0058072,0.678721,-0.000711499,-0.0115292,0.734306,-0.00209199,0.00631707,0.100083
-0.417292,1.3735,-0.991202,-0.127044,-0.155431,-0.00563682,0.678535,-0.00072795,-0.0115193,0.734477,8.75262e-06,0.00679296,0.101926
-0.417292,1.3735,-0.991202,-0.127044,-0.155431,-0.00563682,0.678348,-0.000743457,-0.0115078,0.73465,-0.000110487,0.00678435,0.102021
-0.418402,1.37185,-0.991243,-0.12505,-0.156565,-0.00545449,0.678161,-0.000760146,-0.0114984,0.734823,-0.00164315,0.00637421,0.102102
-0.418402,1.37185,-0.991243,-0.12505,-0.156565,-0.00545449,0.677973,-0.000777301,-0.0114898,0.734996,-0.00124351,0.0064896,0.102266
-0.419492,1.3702,-0.991283,-0.123087,-0.157725,-0.0052634,0.677785,-0.000795091,-0.0114825,0.73517,-0.00240227,0.00616429,0.102405
-0.419492,1.3702,-0.991283,-0.123087,-0.157725,-0.0052634,0.677597,-0.000812842,-0.0114753,0.735344,-0.00164455,0.00632468,0.102621
-0.420563,1.36854,-0.991319,-0.120941,-0.158622,-0.00505246,0.677408,-0.00083082,-0.0114687,0.735518,-0.00257767,0.00602666,0.102805
-0.420563,1.36854,-0.991319,-0.120941,-0.158622,-0.00505246,0.677219,-0.000849014,-0.0114619,0.735692,-0.00193175,0.0064343,0.103063
-0.421615,1.36687,-0.991352,-0.119049,-0.159825,-0.00483779,0.677029,-0.000867939,-0.0114556,0.735866,-0.00293314,0.00629582,0.103284
-0.421615,1.36687,-0.991352,-0.119049,-0.159825,-0.00483779,0.676839,-0.000886749,-0.0114488,0.736041,-0.00199022,0.00652869,0.103578
-0.422648,1.36518,-0.991381,-0.117029,-0.160846,-0.00459916,0.676648,-0.000905656,-0.0114424,0.736217,-0.00282686,0.00626434,0.103829
-0.422648,1.36518,-0.991381,-0.117029,-0.160846,-0.00459916,0.676457,-0.000924405,-0.0114355,0.736393,-0.00195637,0.00657561,0.104153
-0.423663,1.36349,-0.991407,-0.115045,-0.161906,-0.00434417,0.676265,-0.00094342,-0.0114289,0.736569,-0.00279481,0.00636671,0.104429
-0.423663,1.36349,-0.991407,-0.115045,-0.161906,-0.00434417,0.676073,-0.000962302,-0.0114217,0.736746,-0.00190182,0.00668125,0.104776
-0.424659,1.36178,-0.991429,-0.113221,-0.163158,-0.00406892,0.67588,-0.000981473,-0.0114149,0.736923,-0.00278663,0.00646216,0.105072
-0.424659,1.36178,-0.991429,-0.113221,-0.163158,-0.00406892,0.675686,-0.00100015,-0.0114075,0.737101,-0.00170115,0.00660167,0.105437
-0.425636,1.36006,-0.991446,-0.111144,-0.164051,-0.0037628,0.675491,-0.00101857,-0.0114004,0.737279,-0.00242843,0.00627049,0.105748
-0.425636,1.36006,-0.991446,-0.111144,-0.164051,-0.0037628,0.675296,-0.00103684,-0.0113927,0.737458,-0.00161992,0.00664662,0.106127
-0.426595,1.35833,-0.991458,-0.109324,-0.16529,-0.00344182,0.6751,-0.0010556,-0.0113854,0.737637,-0.00254172,0.0064698,0.106451
-0.426595,1.35833,-0.991458,-0.109324,-0.16529,-0.00344182,0.674904,-0.00107402,-0.0113775,0.737817,-0.00151174,0.00665679,0.106841
-0.427536,1.3566,-0.991465,-0.107377,-0.166299,-0.00310789,0.674706,-0.00109234,-0.01137,0.737998,-0.00228277,0.00635218,0.107173
-0.427536,1.3566,-0.991465,-0.107377,-0.166299,-0.00310789,0.674508,-0.00111037,-0.0113619,0.738179,-0.00139904,0.00662131,0.10757
-0.428459,1.35485,-0.991466,-0.105491,-0.167413,-0.00272454,0.67431,-0.00112861,-0.0113543,0.73836,-0.00227435,0.00637027,0.107908
-0.428459,1.35485,-0.991466,-0.105491,-0.167413,-0.00272454,0.67411,-0.0011466,-0.0113461,0.738543,-0.00133081,0.00661757,0.10831
-0.429364,1.35309,-0.991461,-0.103669,-0.168587,-0.00233361,0.67391,-0.00116471,-0.0113384,0.738725,-0.00220265,0.00634567,0.108653
-0.429364,1.35309,-0.991461,-0.103669,-0.168587,-0.00233361,0.673709,-0.00118238,-0.0113301,0.738909,-0.00116022,0.00652368,0.109058
-0.430252,1.35132,-0.991451,-0.101674,-0.169463,-0.0019061,0.673507,-0.00119994,-0.0113221,0.739093,-0.00197032,0.00620627,0.109403
-0.430252,1.35132,-0.991451,-0.101674,-0.169463,-0.0019061,0.673305,-0.00121748,-0.0113138,0.739277,-0.00121981,0.00657405,0.10981
-0.431121,1.34953,-0.991435,-0.0998941,-0.170661,-0.00145696,0.673102,-0.00123558,-0.0113059,0.739462,-0.00220455,0.00638315,0.110156
-0.431121,1.34953,-0.991435,-0.0998941,-0.170661,-0.00145696,0.672898,-0.00125345,-0.0112976,0.739648,-0.00123141,0.00658884,0.110563
-0.431973,1.34774,-0.991413,-0.0980183,-0.17168,-0.00100471,0.672691,-0.00126843,-0.0112889,0.739836,-0.000329145,0.00521342,0.112649
-0.431973,1.34774,-0.991413,-0.0980183,-0.17168,-0.00100471,0.672483,-0.00128227,-0.0112794,0.740026,-8.64116e-05,0.00585327,0.112797
-0.432807,1.34594,-0.991386,-0.0961529,-0.172708,-0.000540877,0.672274,-0.00129781,-0.0112709,0.740215,-0.00144605,0.00585913,0.112924
-0.432807,1.34594,-0.991386,-0.0961529,-0.172708,-0.000540877,0.672065,-0.00131424,-0.0112622,0.740405,-0.000880635,0.00634447,0.113122
-0.433624,1.34413,-0.991354,-0.0944355,-0.173954,-7.08665e-05,0.671856,-0.00133169,-0.0112542,0.740595,-0.00204887,0.00622594,0.113291
-0.433624,1.34413,-0.991354,-0.0944355,-0.173954,-7.08665e-05,0.671646,-0.00134916,-0.0112459,0.740786,-0.00111321,0.00645425,0.113526
-0.434424,1.3423,-0.991316,-0.0925122,-0.174828,0.00041363,0.671435,-0.00136675,-0.0112381,0.740977,-0.00200421,0.00616194,0.113725
-0.434424,1.3423,-0.991316,-0.0925122,-0.174828,0.00041363,0.671225,-0.00138441,-0.0112298,0.741168,-0.00127428,0.00653562,0.113991
-0.435207,1.34047,-0.991274,-0.0907862,-0.176032,0.000885806,0.671013,-0.00140268,-0.0112222,0.741359,-0.00230813,0.00633569,0.114217
-0.435207,1.34047,-0.991274,-0.0907862,-0.176032,0.000885806,0.670802,-0.00142074,-0.0112141,0.741551,-0.00131509,0.00654054,0.114509
-0.435972,1.33862,-0.991228,-0.0889665,-0.177046,0.0013725,0.670587,-0.0014366,-0.0112022,0.741745,0.000908429,0.00701453,0.116549
-0.435972,1.33862,-0.991228,-0.0889665,-0.177046,0.0013725,0.670371,-0.00145148,-0.0111886,0.74194,0.000727899,0.00696279,0.116598
-0.436721,1.33677,-0.991176,-0.0872597,-0.178236,0.0018405,0.670155,-0.00146761,-0.0111776,0.742136,-0.000985297,0.00647033,0.116641
-0.436721,1.33677,-0.991176,-0.0872597,-0.178236,0.0018405,0.669938,-0.00148406,-0.0111676,0.742331,-0.000511034,0.00648342,0.116762
-0.437453,1.3349,-0.991121,-0.0854826,-0.179265,0.00230528,0.66972,-0.0014987,-0.0111548,0.742529,0.0013873,0.00681168,0.118675
-0.437453,1.3349,-0.991121,-0.0854826,-0.179265,0.00230528,0.6695,-0.0015126,-0.011141,0.742727,0.000965317,0.00666837,0.118582
-0.438168,1.33303,-0.991061,-0.0836977,-0.180252,0.00276218,0.66928,-0.00152794,-0.0111302,0.742926,-0.000920212,0.00612048,0.118503
-0.438168,1.33303,-0.991061,-0.0836977,-0.180252,0.00276218,0.66906,-0.00154408,-0.0111209,0.743124,-0.000721573,0.00623742,0.11851
-0.438867,1.33114,-0.990998,-0.0819683,-0.181335,0.003205,0.66884,-0.00156118,-0.0111133,0.743322,-0.00214654,0.00586714,0.118516
-0.438867,1.33114,-0.990998,-0.0819683,-0.181335,0.003205,0.66862,-0.00157851,-0.0111061,0.74352,-0.00148385,0.00604919,0.118601
-0.439549,1.32924,-0.990931,-0.0802171,-0.182346,0.00364502,0.668399,-0.00159629,-0.0110999,0.743718,-0.00261703,0.00571663,0.118673
-0.439549,1.32924,-0.990931,-0.0802171,-0.182346,0.00364502,0.668178,-0.00161407,-0.0110936,0.743917,-0.00181859,0.00596545,0.118826
-0.440215,1.32733,-0.990861,-0.0784831,-0.18334,0.00406901,0.667957,-0.00163218,-0.0110879,0.744115,-0.00282007,0.00568112,0.118956
-0.440215,1.32733,-0.990861,-0.0784831,-0.18334,0.00406901,0.667736,-0.0016502,-0.011082,0.744314,-0.00195922,0.00595344,0.119164
-0.440865,1.32541,-0.990787,-0.0768665,-0.184619,0.00449412,0.667514,-0.00166854,-0.0110766,0.744513,-0.00295138,0.00567759,0.119342
-0.440865,1.32541,-0.990787,-0.0768665,-0.184619,0.00449412,0.667292,-0.0016863,-0.0110706,0.744712,-0.00176052,0.00581394,0.119598
-0.441499,1.32348,-0.99071,-0.0750784,-0.185445,0.00488612,0.667069,-0.00170374,-0.0110649,0.744912,-0.00253444,0.00544843,0.119816
-0.441499,1.32348,-0.99071,-0.0750784,-0.185445,0.00488612,0.666846,-0.00172094,-0.0110588,0.745112,-0.00167585,0.0057679,0.120111
-0.442116,1.32155,-0.99063,-0.0734591,-0.186653,0.00528127,0.666622,-0.00173851,-0.0110531,0.745312,-0.00265742,0.00552742,0.120362
-0.442116,1.32155,-0.99063,-0.0734591,-0.186653,0.00528127,0.666397,-0.00175568,-0.0110469,0.745513,-0.00154979,0.00571759,0.120688
-0.442718,1.3196,-0.990548,-0.0717709,-0.187645,0.00564544,0.666172,-0.00177271,-0.011041,0.745714,-0.00237596,0.00538833,0.120966
-0.442718,1.3196,-0.990548,-0.0717709,-0.187645,0.00564544,0.665946,-0.00178934,-0.0110345,0.745916,-0.00138601,0.00562805,0.121317
-0.443304,1.31763,-0.990463,-0.0701079,-0.188675,0.00600188,0.665718,-0.00180319,-0.0110272,0.74612,-0.000336044,0.00448616,0.12352
-0.443304,1.31763,-0.990463,-0.0701079,-0.188675,0.00600188,0.665488,-0.00181587,-0.011019,0.746325,-7.6656e-05,0.00502179,0.123609
-0.443874,1.31566,-0.990376,-0.0685238,-0.189901,0.00634381,0.665257,-0.00183013,-0.0110119,0.746531,-0.00153608,0.00493663,0.123685
-0.443874,1.31566,-0.990376,-0.0685238,-0.189901,0.00634381,0.665026,-0.00184482,-0.0110047,0.746737,-0.000700573,0.00524335,0.123845
-0.444429,1.31368,-0.990287,-0.0668043,-0.19072,0.00665736,0.664795,-0.00185996,-0.0109982,0.746943,-0.00175971,0.00499533,0.123981
-0.444429,1.31368,-0.990287,-0.0668043,-0.19072,0.00665736,0.664563,-0.0018754,-0.0109915,0.747149,-0.00109683,0.00538272,0.124193
-0.444968,1.31169,-0.990197,-0.0652275,-0.191902,0.00696616,0.664331,-0.00189161,-0.0109855,0.747355,-0.00224023,0.00518695,0.124374
-0.444968,1.31169,-0.990197,-0.0652275,-0.191902,0.00696616,0.664098,-0.00190771,-0.0109791,0.747562,-0.00124506,0.00542142,0.124631
-0.445492,1.30969,-0.990104,-0.0635872,-0.192888,0.0072513,0.663863,-0.00192164,-0.0109688,0.747771,0.00102987,0.00589399,0.126795
-0.445492,1.30969,-0.990104,-0.0635872,-0.192888,0.0072513,0.663626,-0.00193457,-0.0109568,0.747982,0.000828866,0.00584701,0.126801
-0.446,1.30768,-0.99001,-0.0619695,-0.193886,0.0075242,0.663389,-0.00194883,-0.0109474,0.748192,-0.000971832,0.00535021,0.126806
-0.446,1.30768,-0.99001,-0.0619695,-0.193886,0.0075242,0.663152,-0.0019637,-0.0109392,0.748402,-0.000602695,0.00547269,0.126899
-0.446493,1.30565,-0.989915,-0.0604433,-0.195154,0.00777581,0.662915,-0.00197938,-0.0109326,0.748613,-0.00201554,0.00508684,0.126978
-0.446493,1.30565,-0.989915,-0.0604433,-0.195154,0.00777581,0.662677,-0.00199486,-0.0109262,0.748823,-0.00107197,0.00516667,0.127137
-0.446971,1.30362,-0.989818,-0.0588101,-0.196038,0.00800543,0.662439,-0.00201031,-0.0109205,0.749034,-0.00206615,0.00475815,0.127273
-0.446971,1.30362,-0.989818,-0.0588101,-0.196038,0.00800543,0.6622,-0.00202558,-0.0109147,0.749245,-0.00125851,0.00499119,0.127488
-0.447434,1.30158,-0.989721,-0.0572553,-0.197146,0.00822727,0.661961,-0.00204122,-0.0109097,0.749456,-0.00233096,0.00468874,0.127672
-0.447434,1.30158,-0.989721,-0.0572553,-0.197146,0.00822727,0.661722,-0.00205657,-0.0109043,0.749667,-0.0013113,0.00489535,0.127934
-0.447882,1.29952,-0.989623,-0.055664,-0.198094,0.00842148,0.661482,-0.00207197,-0.0108993,0.749879,-0.00224121,0.00457447,0.128157
-0.447882,1.29952,-0.989623,-0.055664,-0.198094,0.00842148,0.661242,-0.00208711,-0.010894,0.750091,-0.00129767,0.00483523,0.128458
-0.448315,1.29746,-0.989525,-0.0541646,-0.19931,0.00860863,0.661,-0.0021025,-0.0108892,0.750304,-0.00230975,0.00454593,0.128714
-0.448315,1.29746,-0.989525,-0.0541646,-0.19931,0.00860863,0.660759,-0.00211737,-0.0108839,0.750516,-0.00113983,0.00470581,0.129045
-0.448734,1.29538,-0.989426,-0.0526179,-0.200339,0.00877113,0.660516,-0.00213207,-0.0108789,0.75073,-0.00202268,0.00434671,0.129328
-0.448734,1.29538,-0.989426,-0.0526179,-0.200339,0.00877113,0.660273,-0.00214626,-0.0108734,0.750944,-0.000954632,0.00454648,0.129684
-0.449138,1.2933,-0.989327,-0.0510336,-0.201184,0.00891006,0.66003,-0.00216045,-0.0108684,0.751158,-0.00188359,0.00422097,0.129988
-0.449138,1.2933,-0.989327,-0.0510336,-0.201184,0.00891006,0.659785,-0.00217449,-0.0108629,0.751373,-0.000995054,0.00452347,0.130363
-0.449527,1.2912,-0.989227,-0.0494982,-0.202189,0.00903336,0.65954,-0.00218895,-0.0108581,0.751588,-0.00208595,0.00425927,0.130683
-0.449527,1.2912,-0.989227,-0.0494982,-0.202189,0.00903336,0.659294,-0.00220333,-0.010853,0.751804,-0.00114841,0.00453472,0.131073
-0.449902,1.2891,-0.989128,-0.0480071,-0.203307,0.00914704,0.659045,-0.00221541,-0.0108438,0.752022,0.00129028,0.00495646,0.133456
-0.449902,1.2891,-0.989128,-0.0480071,-0.203307,0.00914704,0.658794,-0.0022263,-0.0108327,0.752242,0.00111931,0.00487636,0.133553
-0.450262,1.28698,-0.989029,-0.0464951,-0.204333,0.00923621,0.658543,-0.00223846,-0.0108244,0.752462,-0.000699421,0.00435976,0.133636
-0.450262,1.28698,-0.989029,-0.0464951,-0.204333,0.00923621,0.658292,-0.00225113,-0.0108172,0.752682,-0.000282225,0.00445476,0.133801
-0.450608,1.28486,-0.988931,-0.0450266,-0.205456,0.00931953,0.65804,-0.00226452,-0.0108116,0.752902,-0.00168303,0.00405615,0.133942
-0.450608,1.28486,-0.988931,-0.0450266,-0.205456,0.00931953,0.657787,-0.00227788,-0.0108063,0.753123,-0.000856817,0.00418199,0.134158
-0.45094,1.28272,-0.988833,-0.0435102,-0.206337,0.00936814,0.657532,-0.00228917,-0.0107975,0.753346,0.00129072,0.00459364,0.136423
-0.45094,1.28272,-0.988833,-0.0435102,-0.206337,0.00936814,0.657275,-0.00229966,-0.0107872,0.75357,0.000926012,0.00451633,0.136373
-0.451258,1.28057,-0.988736,-0.0420115,-0.207283,0.0094018,0.657019,-0.00231167,-0.01078,0.753794,-0.00103747,0.00400308,0.136329
-0.451258,1.28057,-0.988736,-0.0420115,-0.207283,0.0094018,0.656762,-0.00232448,-0.0107741,0.754018,-0.000771217,0.0041294,0.136375
-0.451562,1.27842,-0.98864,-0.0405783,-0.208467,0.00944167,0.656502,-0.00233542,-0.0107682,0.754244,-8.40464e-05,0.00312263,0.138515
-0.451562,1.27842,-0.98864,-0.0405783,-0.208467,0.00944167,0.656241,-0.00234546,-0.010762,0.754471,5.40521e-06,0.00346097,0.138324
-0.451852,1.27625,-0.988545,-0.039117,-0.209489,0.00944617,0.655978,-0.00235424,-0.0107557,0.754699,0.000552362,0.00261819,0.140274
-0.451852,1.27625,-0.988545,-0.039117,-0.209489,0.00944617,0.655714,-0.00236282,-0.0107493,0.754929,0.000347311,0.00312685,0.139894
-0.452128,1.27407,-0.988451,-0.03768,-0.210586,0.00944373,0.655451,-0.00237361,-0.0107449,0.755158,-0.00149451,0.00302917,0.139571
-0.452128,1.27407,-0.988451,-0.03768,-0.210586,0.00944373,0.655187,-0.00238537,-0.0107409,0.755386,-0.000917359,0.00339555,0.139353
-0.45239,1.27189,-0.988358,-0.0362181,-0.211482,0.00942724,0.654924,-0.0023981,-0.010738,0.755614,-0.00227391,0.00317765,0.139166
-0.45239,1.27189,-0.988358,-0.0362181,-0.211482,0.00942724,0.654662,-0.00241124,-0.0107351,0.755842,-0.00154486,0.0035186,0.139078
