p_x,p_y,p_z,dp_x,dp_y,dp_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z
-0.00858991,1.49922,-1.02771,-0.0649829,-0.00484195,0.0161873,0.706283,-0.0328861,0.031183,0.706478,-0.00896497,-0.0434774,0.0058539
-0.00858991,1.49922,-1.02771,-0.0649829,-0.00484195,0.0161873,0.706276,-0.0328118,0.0310764,0.706493,-0.0097043,-0.0563345,0.00589082
-0.00979739,1.49915,-1.02733,-0.0719539,-0.00508879,0.0189303,0.706269,-0.0327225,0.0309519,0.706509,-0.010595,-0.0633725,0.0059223
-0.00979739,1.49915,-1.02733,-0.0719539,-0.00508879,0.0189303,0.706263,-0.0326172,0.0308089,0.706526,-0.0111914,-0.0749286,0.00595686
-0.0110869,1.49908,-1.02692,-0.079156,-0.00532706,0.0216777,0.706258,-0.0324989,0.0306505,0.706544,-0.011944,-0.0806198,0.00598627
-0.0110869,1.49908,-1.02692,-0.079156,-0.00532706,0.0216777,0.706253,-0.0323664,0.0304759,0.706563,-0.0124353,-0.0911613,0.0060203
-0.0124575,1.49901,-1.02649,-0.0864295,-0.00555571,0.0243807,0.706248,-0.0322227,0.0302879,0.706582,-0.0130895,-0.0957566,0.00604928
-0.0124575,1.49901,-1.02649,-0.0864295,-0.00555571,0.0243807,0.706244,-0.0320665,0.0300856,0.706602,-0.0135098,-0.105337,0.00608402
-0.0139081,1.49893,-1.02603,-0.0937987,-0.00578422,0.0270522,0.70624,-0.0319007,0.0298718,0.706622,-0.0140961,-0.108926,0.00611366
-0.0139081,1.49893,-1.02603,-0.0937987,-0.00578422,0.0270522,0.706237,-0.0317237,0.0296454,0.706643,-0.014427,-0.117679,0.00615035
-0.0154376,1.49886,-1.02555,-0.101139,-0.00601812,0.0296462,0.706234,-0.0315385,0.0294092,0.706664,-0.0149441,-0.120398,0.0061816
-0.0154376,1.49886,-1.02555,-0.101139,-0.00601812,0.0296462,0.706231,-0.0313436,0.0291621,0.706686,-0.0152053,-0.12833,0.00622145
-0.0170446,1.49878,-1.02505,-0.10872,-0.00627229,0.0322558,0.706228,-0.0311417,0.0289066,0.706709,-0.01565,-0.130226,0.00625541
-0.0170446,1.49878,-1.02505,-0.10872,-0.00627229,0.0322558,0.706225,-0.0309311,0.0286414,0.706731,-0.0158383,-0.137689,0.00629911
-0.0187276,1.49869,-1.02453,-0.116212,-0.00651293,0.0347674,0.706223,-0.0307143,0.028369,0.706754,-0.0162248,-0.13903,0.00633632
